1,P1M4L1Q1TS,5,T
1,P1M4L3Q1TS,6,T
1,P1M1L1Q1TS,10,T
1,P1M1L3Q1TS,10,T
1,P1M1L2Q1TS,10,T
1,P1M2L3Q1TS,9,T
1,P1M2L2Q1TS,9,T
1,P1M2L1Q1TS,9,T
1,P1M3L2Q1TS,9,T
1,P1M3L3Q1TS,8,T
1,P1M3L1Q1TS,8,T
2,P1M1L3Q1TS,10,T
2,P1M1L2Q1TS,10,T
2,P1M1L1Q1TS,10,T
2,P1M2L1Q1TS,9,T
2,P1M2L3Q1TS,10,T
2,P1M3L3Q1TS,6,T
2,P1M3L2Q1TS,8,T
2,P1M3L1Q1TS,9,T
2,P1M4L3Q1TS,7,T
2,P1M4L1Q1TS,4,T
2,P1M4L2Q1TS,8,T
3,P1M4L2Q1TS,5,T
3,P1M4L1Q1TS,6,T
3,P1M4L3Q1TS,6,T
3,P1M3L3Q1TS,9,T
3,P1M3L1Q1TS,9,T
3,P1M1L2Q1TS,10,T
3,P1M1L1Q1TS,10,T
3,P1M2L3Q1TS,10,T
3,P1M2L1Q1TS,7,T
3,P1M2L2Q1TS,9,T
4,P1M3L1Q1TS,7,T
4,P1M3L3Q1TS,8,T
4,P1M3L2Q1TS,8,T
4,P1M4L3Q1TS,8,T
4,P1M4L1Q1TS,5,T
4,P1M1L2Q1TS,10,T
4,P1M1L1Q1TS,10,T
4,P1M2L1Q1TS,9,T
4,P1M2L3Q1TS,10,T
4,P1M2L2Q1TS,8,T
5,P1M2L3Q1TS,8,P
5,P1M2L1Q1TS,8,P
5,P1M2L2Q1TS,10,P
5,P1M4L3Q1TS,4,P
5,P1M4L2Q1TS,4,P
5,P1M3L3Q1TS,6,P
5,P1M3L1Q1TS,6,P
5,P1M1L1Q1TS,10,P
5,P1M1L2Q1TS,7,P
5,P1M1L3Q1TS,8,P
6,P1M3L2Q1TS,5,A
6,P1M3L3Q1TS,6,A
6,P1M1L1Q1TS,5,A
6,P1M1L3Q1TS,9,A
6,P1M4L2Q1TS,5,A
6,P1M4L1Q1TS,5,A
6,P1M2L2Q1TS,9,A
6,P1M2L3Q1TS,7,A
7,P1M1L3Q1TS,9,P
7,P1M1L2Q1TS,8,P
7,P1M3L2Q1TS,4,P
7,P1M3L3Q1TS,7,P
7,P1M4L2Q1TS,3,P
7,P1M4L3Q1TS,5,P
7,P1M4L1Q1TS,4,P
7,P1M2L1Q1TS,6,P
7,P1M2L2Q1TS,8,P
7,P1M2L3Q1TS,7,P
8,P1M1L3Q1TS,9,P
8,P1M1L2Q1TS,7,P
8,P1M1L1Q1TS,7,P
8,P1M4L1Q1TS,6,P
8,P1M4L2Q1TS,7,P
8,P1M3L2Q1TS,2,P
8,P1M3L3Q1TS,6,P
8,P1M3L1Q1TS,4,P
8,P1M2L3Q1TS,8,P
8,P1M2L1Q1TS,8,P
8,P1M2L2Q1TS,7,P
