1,P1M4L1Q1TS,2,P
1,P1M4L2Q1TS,4,P
1,P1M4L3Q1TS,4,P
1,P1M1L2Q1TS,7,A
1,P1M1L1Q1TS,10,A
1,P1M1L3Q1TS,9,A
1,P1M2L3Q1TS,8,A
1,P1M2L1Q1TS,8,P
1,P1M3L3Q1TS,5,T
1,P1M3L1Q1TS,8,P
1,P1M3L2Q1TS,10,A
2,P1M2L3Q1TS,9,T
2,P1M2L1Q1TS,7,T
2,P1M2L2Q1TS,9,T
2,P1M4L2Q1TS,5,P
2,P1M4L3Q1TS,3,P
2,P1M3L1Q1TS,8,T
2,P1M3L2Q1TS,8,A
2,P1M1L1Q1TS,10,A
2,P1M1L2Q1TS,10,A
2,P1M1L3Q1TS,10,T
3,P1M3L2Q1TS,8,A
3,P1M3L3Q1TS,6,P
3,P1M2L2Q1TS,9,A
3,P1M2L1Q1TS,9,A
3,P1M2L3Q1TS,10,T
3,P1M1L1Q1TS,9,P
3,P1M1L3Q1TS,9,A
3,P1M1L2Q1TS,10,A
3,P1M4L1Q1TS,7,T
3,P1M4L2Q1TS,8,A
3,P1M4L3Q1TS,5,T
4,P1M1L1Q1TS,10,T
4,P1M1L3Q1TS,8,A
4,P1M1L2Q1TS,9,P
4,P1M3L3Q1TS,6,A
4,P1M3L1Q1TS,6,P
4,P1M3L2Q1TS,7,A
4,P1M2L2Q1TS,9,T
4,P1M2L1Q1TS,6,P
4,P1M4L2Q1TS,7,A
4,P1M4L1Q1TS,6,P
4,P1M4L3Q1TS,7,A
5,P1M2L1Q1TS,10,A
5,P1M2L2Q1TS,9,A
5,P1M3L3Q1TS,9,A
5,P1M3L1Q1TS,6,P
5,P1M4L2Q1TS,5,A
5,P1M4L3Q1TS,5,P
5,P1M4L1Q1TS,5,P
5,P1M1L1Q1TS,9,A
5,P1M1L2Q1TS,10,A
5,P1M1L3Q1TS,9,A
6,P1M2L1Q1TS,7,P
6,P1M2L3Q1TS,9,T
6,P1M2L2Q1TS,8,P
6,P1M3L3Q1TS,8,T
6,P1M3L1Q1TS,5,P
6,P1M3L2Q1TS,6,P
6,P1M4L1Q1TS,6,A
6,P1M4L3Q1TS,6,T
6,P1M1L2Q1TS,10,T
6,P1M1L1Q1TS,10,A
6,P1M1L3Q1TS,10,T
7,P1M1L1Q1TS,10,T
7,P1M1L2Q1TS,10,T
7,P1M4L1Q1TS,8,T
7,P1M4L3Q1TS,5,A
7,P1M4L2Q1TS,7,T
7,P1M2L1Q1TS,8,P
7,P1M2L3Q1TS,9,T
7,P1M3L2Q1TS,5,A
7,P1M3L3Q1TS,10,T
7,P1M3L1Q1TS,8,P
8,P1M1L3Q1TS,10,A
8,P1M1L2Q1TS,8,P
8,P1M3L2Q1TS,8,P
8,P1M3L3Q1TS,7,P
8,P1M4L1Q1TS,7,A
8,P1M4L3Q1TS,4,A
8,P1M4L2Q1TS,7,A
9,P1M1L1Q1TS,8,P
9,P1M1L2Q1TS,10,T
9,P1M2L3Q1TS,8,T
9,P1M2L2Q1TS,9,T
9,P1M4L2Q1TS,5,P
9,P1M4L3Q1TS,7,P
9,P1M4L1Q1TS,8,A
9,P1M3L1Q1TS,9,A
9,P1M3L3Q1TS,9,T
10,P1M3L3Q1TS,10,T
10,P1M3L1Q1TS,6,P
10,P1M3L2Q1TS,8,A
10,P1M1L2Q1TS,8,A
10,P1M1L3Q1TS,7,P
10,P1M1L1Q1TS,9,A
10,P1M2L1Q1TS,7,A
10,P1M2L3Q1TS,9,T
10,P1M4L1Q1TS,6,P
11,P1M3L1Q1TS,5,P
11,P1M3L2Q1TS,7,A
11,P1M3L3Q1TS,9,T
11,P1M1L3Q1TS,10,P
11,P1M1L1Q1TS,7,P
11,P1M4L1Q1TS,6,P
11,P1M4L2Q1TS,6,A
11,P1M4L3Q1TS,6,P
11,P1M2L2Q1TS,8,A
11,P1M2L3Q1TS,10,T
12,P1M2L2Q1TS,8,T
12,P1M2L1Q1TS,9,A
12,P1M2L3Q1TS,7,A
12,P1M3L2Q1TS,7,T
12,P1M3L3Q1TS,7,A
12,P1M3L1Q1TS,10,T
12,P1M1L3Q1TS,10,P
12,P1M1L1Q1TS,8,A
12,P1M1L2Q1TS,10,T
12,P1M4L1Q1TS,9,A
13,P1M2L3Q1TS,8,P
13,P1M2L2Q1TS,7,A
13,P1M4L3Q1TS,3,P
13,P1M4L2Q1TS,7,T
13,P1M4L1Q1TS,7,A
13,P1M1L1Q1TS,8,P
13,P1M1L2Q1TS,9,P
13,P1M1L3Q1TS,10,A
13,P1M3L2Q1TS,4,P
13,P1M3L3Q1TS,8,A
13,P1M3L1Q1TS,3,P
14,P1M2L2Q1TS,6,A
14,P1M2L1Q1TS,8,P
14,P1M3L1Q1TS,7,P
14,P1M3L3Q1TS,6,P
14,P1M3L2Q1TS,6,A
14,P1M1L2Q1TS,8,P
14,P1M1L3Q1TS,10,T
14,P1M4L3Q1TS,6,T
14,P1M4L1Q1TS,5,T
15,P1M4L2Q1TS,7,T
15,P1M4L1Q1TS,5,A
15,P1M3L1Q1TS,5,P
15,P1M3L3Q1TS,8,P
15,P1M1L2Q1TS,7,P
15,P1M1L1Q1TS,9,A
15,P1M2L3Q1TS,9,P
15,P1M2L2Q1TS,8,T
15,P1M2L1Q1TS,8,A
16,P1M2L1Q1TS,8,P
16,P1M2L2Q1TS,9,T
16,P1M2L3Q1TS,9,A
16,P1M1L1Q1TS,7,P
16,P1M1L3Q1TS,7,P
16,P1M3L1Q1TS,8,P
16,P1M4L2Q1TS,6,P
16,P1M4L3Q1TS,6,P
17,P1M4L3Q1TS,6,A
17,P1M4L2Q1TS,4,P
17,P1M2L3Q1TS,8,A
17,P1M2L1Q1TS,8,T
17,P1M1L2Q1TS,10,T
17,P1M1L1Q1TS,10,T
17,P1M1L3Q1TS,9,A
18,P1M1L2Q1TS,7,P
18,P1M1L3Q1TS,7,A
18,P1M1L1Q1TS,9,P
18,P1M3L1Q1TS,5,A
18,P1M3L3Q1TS,6,A
18,P1M3L2Q1TS,5,P
18,P1M4L2Q1TS,7,P
18,P1M4L3Q1TS,9,A
18,P1M4L1Q1TS,5,P
18,P1M2L1Q1TS,8,A
18,P1M2L3Q1TS,8,T
18,P1M2L2Q1TS,6,P
19,P1M1L2Q1TS,7,P
19,P1M1L1Q1TS,8,A
19,P1M3L3Q1TS,7,P
19,P1M3L2Q1TS,7,A
19,P1M3L1Q1TS,8,A
19,P1M4L2Q1TS,5,A
19,P1M4L3Q1TS,4,P
19,P1M4L1Q1TS,7,T
19,P1M2L1Q1TS,9,T
20,P1M4L1Q1TS,5,A
20,P1M1L2Q1TS,10,A
20,P1M1L1Q1TS,9,P
20,P1M1L3Q1TS,7,P
20,P1M2L2Q1TS,8,A
20,P1M2L3Q1TS,6,A
20,P1M2L1Q1TS,6,T
20,P1M3L3Q1TS,7,P
20,P1M3L1Q1TS,6,P
20,P1M3L2Q1TS,5,P
21,P1M1L1Q1TS,7,P
21,P1M1L2Q1TS,9,P
21,P1M1L3Q1TS,10,T
21,P1M3L2Q1TS,7,A
21,P1M3L3Q1TS,7,T
21,P1M2L3Q1TS,9,T
21,P1M4L1Q1TS,4,A
21,P1M4L2Q1TS,7,A
21,P1M4L3Q1TS,7,T
22,P1M4L1Q1TS,3,P
22,P1M4L2Q1TS,7,T
22,P1M4L3Q1TS,6,P
22,P1M1L1Q1TS,10,T
22,P1M1L2Q1TS,10,T
22,P1M3L2Q1TS,8,T
22,P1M3L1Q1TS,8,A
22,P1M2L2Q1TS,9,T
22,P1M2L1Q1TS,7,A
22,P1M2L3Q1TS,10,T
23,P1M2L3Q1TS,9,A
23,P1M2L2Q1TS,8,T
23,P1M2L1Q1TS,9,A
23,P1M1L3Q1TS,10,T
23,P1M3L1Q1TS,5,P
23,P1M3L3Q1TS,9,T
23,P1M4L1Q1TS,6,A
23,P1M4L2Q1TS,5,T
24,P1M1L3Q1TS,10,T
24,P1M1L2Q1TS,10,T
24,P1M4L1Q1TS,4,A
24,P1M4L3Q1TS,8,T
